min_r,base_u,per_base,max_r,K,accuracy
50.0,500.0,20.0,1000.0,1,0.9605488850771869
50.0,500.0,20.0,1000.0,3,0.9725557461406518
50.0,500.0,20.0,1000.0,5,0.9751286449399656
50.0,500.0,20.0,1000.0,7,0.9742710120068611
50.0,500.0,20.0,1000.0,11,0.9716981132075472
50.0,500.0,20.0,1000.0,13,0.9716981132075472
50.0,500.0,20.0,1000.0,17,0.9699828473413379
50.0,500.0,20.0,1000.0,19,0.9682675814751286
50.0,500.0,20.0,1000.0,23,0.9656946826758147
50.0,500.0,20.0,1000.0,29,0.9614065180102916
50.0,500.0,20.0,1000.0,31,0.9614065180102916
50.0,500.0,20.0,1000.0,37,0.9536878216123499
50.0,500.0,20.0,1000.0,41,0.9528301886792453
50.0,500.0,20.0,1000.0,43,0.951114922813036
50.0,500.0,20.0,1000.0,47,0.9468267581475128
