min_r,base_u,per_base,max_r,n_estimators,max_depth,accuracy
50.0,500.0,20.0,1000.0,20,3,0.8344768439108061
50.0,500.0,20.0,1000.0,20,5,0.8825042881646655
50.0,500.0,20.0,1000.0,20,7,0.9150943396226415
50.0,500.0,20.0,1000.0,20,9,0.934819897084048
50.0,500.0,20.0,1000.0,50,3,0.8259005145797599
50.0,500.0,20.0,1000.0,50,5,0.8825042881646655
50.0,500.0,20.0,1000.0,50,7,0.9108061749571184
50.0,500.0,20.0,1000.0,50,9,0.934819897084048
50.0,500.0,20.0,1000.0,100,3,0.8370497427101201
50.0,500.0,20.0,1000.0,100,5,0.8850771869639794
50.0,500.0,20.0,1000.0,100,7,0.9159519725557461
50.0,500.0,20.0,1000.0,100,9,0.9365351629502573
50.0,500.0,20.0,1000.0,200,3,0.8310463121783876
50.0,500.0,20.0,1000.0,200,5,0.8842195540308748
50.0,500.0,20.0,1000.0,200,7,0.9168096054888508
50.0,500.0,20.0,1000.0,200,9,0.9365351629502573
